Entrez	P-value
286053	3e-13
5437	4e-13
162967	4e-13
4286	4e-13
50650	4e-13
23534	4e-13
120892	4e-13
83729	5e-13
10499	6e-13
10599	1e-12
3205	1e-12
140688	1e-12
3190	1e-12
375449	1e-12
23239	1e-12
26137	1e-12
8379	1e-12
64359	2e-12
57707	2e-12
1373	2e-12
2115	2e-12
55701	2e-12
9522	2e-12
2037	2e-12
57337	2e-12
79879	3e-12
23677	3e-12
3338	3e-12
5468	3e-12
3911	3e-12
493	4e-12
55823	4e-12
79729	4e-12
4763	4e-12
7422	5e-12
64219	5e-12
4650	6e-12
5265	6e-12
25966	6e-12
1265	7e-12
57678	8e-12
55064	9e-12
254428	1e-11
124245	1e-11
201134	1e-11
7874	1e-11
30844	1e-11
9462	1e-11
6006	2e-11
57710	2e-11
2638	2e-11
388931	2e-11
23240	2e-11
84717	2e-11
147372	2e-11
2322	3e-11
637	3e-11
91828	3e-11
221188	3e-11
4277	3e-11
113444	3e-11
3709	4e-11
54461	4e-11
3223	4e-11
54892	4e-11
3159	4e-11
91181	4e-11
7481	4e-11
55614	5e-11
56995	5e-11
54855	5e-11
87	5e-11
132	6e-11
5564	7e-11
151230	7e-11
1787	7e-11
8661	8e-11
1021	8e-11
338	9e-11
284058	9e-11
6850	9e-11
1605	9e-11
54887	9e-11
60468	1e-10
11282	1e-10
23635	1e-10
221178	1e-10
51742	1e-10
140901	1e-10
7225	1e-10
84159	1e-10
51752	1e-10
8317	1e-10
91833	2e-10
23086	2e-10
10581	2e-10
3783	3e-10
203328	3e-10
8621	3e-10
8642	3e-10
4836	3e-10
9826	3e-10
22797	4e-10
753	4e-10
8091	4e-10
266655	4e-10
27147	4e-10
128	4e-10
9780	5e-10
79991	5e-10
494188	5e-10
388650	5e-10
388761	5e-10
4066	5e-10
3716	5e-10
53354	6e-10
5788	6e-10
6549	7e-10
124402	7e-10
57580	9e-10
54971	9e-10
23075	9e-10
55758	1e-09
340527	1e-09
3098	1e-09
10590	1e-09
55643	1e-09
147923	1e-09
52	1e-09
6238	1e-09
27146	1e-09
5978	1e-09
283989	1e-09
64855	1e-09
90864	2e-09
1282	2e-09
6565	2e-09
4643	2e-09
4782	2e-09
10846	2e-09
55567	3e-09
445815	3e-09
2217	3e-09
6671	3e-09
5728	3e-09
64793	3e-09
9489	3e-09
51514	4e-09
6861	4e-09
57332	4e-09
152579	4e-09
9929	4e-09
4018	4e-09
9238	4e-09
84912	5e-09
9792	5e-09
55669	5e-09
5023	5e-09
2056	5e-09
83463	5e-09
63931	7e-09
581	7e-09
546	7e-09
5141	8e-09
