	MisSyn	pli	Length	GO	sHet	mrna	n_mrna	CDS	lof	phy	Set
GCST001086_EFO_0004261	0.322365	0.738	55142.0	18.0	0.016023	17.053619444444447	54.0	1881.0	64.72749999999999	1.026	Common
GCST003017_MONDO_0005575	0.49464	0.41	122466.0	18.0	0.116755	25.464322037037032	54.0	1884.0	67.159	1.127	Common
GCST90018793_EFO_0003913	-0.3145	0.752	82107.0	18.0	0.023416	10.119835816666669	53.0	1791.0	81.775	1.026	Common
GCST004625_EFO_0005091	-0.012392	0.741	67507.0	16.0	0.0259514	10.7307362962963	53.0	1333.0	43.156	1.026	Common
GCST90267564_HP_0000360	-0.45608000000000004	0.687	203288.0	13.0	0.0431836	6.02570722222222	39.0	1936.0	66.9375	1.056	Common
GCST004633_EFO_0007990	0.17675000000000002	0.848	69245.0	18.0	0.0177784	10.051288583333333	53.0	1662.0	56.4965	1.026	Common
GCST009269_EFO_0003819	0.036195500000000005	0.6575	234608.0	10.0	0.04889995	4.158058403703702	36.0	1488.0	50.3445	1.0773333333333333	Common
GCST90269707_EFO_0022233	-0.30391	1.0815000000000001	41721.0	17.0	0.00802123	16.018326574074074	52.5	1771.5	52.415	1.0187499999999998	Common
GCST010516_EFO_0003931	-1.7124	1.254	127608.0	10.0	0.00516281	8.268265185185184	39.0	1014.0	48.672	1.026	Common
GCST007074_EFO_0009188	0.00695225	0.7545	74476.5	14.0	0.0330324	13.787122962962965	54.0	1604.5	50.882000000000005	1.0705	Common
GCST009541_EFO_0003144	0.28026	0.538	118589.0	20.0	0.0607824	13.036009055555557	53.0	1728.0	61.303	1.026	Common
GCST90455679_EFO_0004274	0.98433	1.105	139572.0	17.0	0.000780405	2.959453514814816	35.0	1878.0	50.699	0.939	Common
GCST90025964_OBA_2045260	-0.113973	0.859	34038.0	16.5	0.00655613	11.333322222222225	53.0	1559.5	50.9495	1.0234999999999999	Common
GCST90432140_EFO_0004799	-0.27155	0.9289999999999999	47581.0	17.5	0.00789585	7.205721203703702	50.0	1815.0	58.132	1.026	Common
GCST90239661_EFO_0004530	0.13227	0.716	81625.0	16.0	0.02774975	12.735483314814813	53.0	1671.0	55.976	1.058	Common
GCST90269587_EFO_0022299	0.1213755	0.7695000000000001	55016.5	17.0	0.0201369	14.756913333333333	52.5	1908.0	62.5725	1.0321	Common
GCST003925_EFO_0004274	0.27523	1.022	117023.0	17.0	0.00181815	2.959453514814816	34.0	1878.0	50.699	0.962	Common
GCST90002314_EFO_0004509	0.0921955	0.627	110614.0	17.0	0.04219565	10.204845185185183	53.0	1741.5	60.1545	1.0705	Common
GCST90179150_EFO_0004340	0.062392	0.6455	149536.5	14.0	0.0469702	8.861026574074074	52.0	1859.0	60.8955	1.118	Common
GCST90269621_EFO_0022161	0.077791	0.9005000000000001	40616.0	20.0	0.0173854	9.936167471296297	45.0	1537.0	52.164	1.026	Common
GCST90269674_EFO_0022270	0.27639499999999995	0.8835	29097.0	18.5	0.013430125	6.3963670537037025	34.0	1928.0	65.02199999999999	0.9904999999999999	Common
GCST012403_HP_0000545	-0.11527	0.688	217431.0	13.0	0.037668400000000005	7.279376796296295	42.0	1696.0	59.005	1.0596666666666668	Common
GCST90025984_EFO_0004587	-0.54206	0.9205	40336.0	21.0	0.008026095	19.483446620370373	54.0	1977.0	71.55250000000001	0.996	Common
GCST003236_EFO_0005680	1.0803	0.415	306719.0	23.0	0.0686825	7.803974574074073	52.0	1033.0	47.754	1.09125	Common
GCST90102517_EFO_0010067	0.058711	0.743	115860.0	14.0	0.03478	12.213716851851853	52.0	1869.0	65.569	1.026	Common
GCST90448598_EFO_0004533	0.32587	0.994	77672.0	17.5	0.00432526	10.833268083333333	51.5	1108.5	47.316	1.024	Common
GCST90092812_EFO_0010116	0.068141	0.747	85633.0	20.0	0.0136154	9.435935012962965	52.0	1496.0	53.863	1.026	Common
GCST90092980_EFO_0005110	0.023535499999999997	0.8835	50282.5	17.0	0.0064408650000000005	9.265463233333334	51.0	1868.5	59.091499999999996	1.026	Common
GCST90269623_EFO_0021899	-0.03740450000000001	0.8225	37694.5	22.0	0.0182978	9.669927043518518	47.5	1537.0	52.164	1.026	Common
GCST003130_EFO_0003756	-0.11658	1.136	43560.0	7.0	0.00419148	0.9645232727777778	22.0	2388.0	59.579	1.026	Common
