	Log2SizeOE_norm	Log2SizeOE	Prediction	Residual
34375979_EFO_0000384_GCST004132_EFO_0000384	0.7832210655235763	1.6960865136815686	0.4647425011769029	0.3184785643466734
36038634_EFO_0000384_GCST004132_EFO_0000384	0.8493570116350275	1.82945158312162	0.5129026079671213	0.33645440366790624
20549515_EFO_0000384_GCST90020071_EFO_0000384	0.29822412737293325	0.3438665982739377	0.27516595599993643	0.023058171372996816
21738570_EFO_0000384_GCST90020071_EFO_0000384	0.2700551132884262	0.2596991231879197	0.31981644509796114	-0.04976133180953496
34375979_EFO_0000384_GCST90020071_EFO_0000384	0.041641151255358236	-0.5358061285362758	0.13714190907649787	-0.09550075782113963
36038634_EFO_0000384_GCST90020071_EFO_0000384	0.15921616656460502	-0.0518638371653207	0.245458964676109	-0.08624279811150398
20549515_EFO_0000384_GCST90301327_EFO_0000384	0.6374770361298224	1.372691208569249	0.6307480219491036	0.006729014180718806
21738570_EFO_0000384_GCST90301327_EFO_0000384	0.5554194733619106	1.101921724485037	0.7085498168018143	-0.15313034343990373
34375979_EFO_0000384_GCST90301327_EFO_0000384	0.34843845682792407	0.5246683623262614	0.23848630164921442	0.10995215517870965
36038634_EFO_0000384_GCST90301327_EFO_0000384	0.4353949785670545	0.7730343358973433	0.29979928258525657	0.13559569598179794
20549515_EFO_0000384_GCST90319897_EFO_0000384	0.6944274341702388	1.5086628267119908	0.6344420527441456	0.05998538142609322
21738570_EFO_0000384_GCST90319897_EFO_0000384	0.6858542559706062	1.4919203877796223	0.763104718986656	-0.07725046301604976
34375979_EFO_0000384_GCST90319897_EFO_0000384	0.5621555419473362	1.1296089099942517	0.233746578236794	0.3284089637105422
36038634_EFO_0000384_GCST90319897_EFO_0000384	0.6074709124311084	1.276378503974579	0.3004095767397883	0.3070613356913201
20549515_EFO_0000384_GCST90446792_EFO_0000384	0.8328230251071648	1.7888057048982338	0.5105949247132877	0.32222810039387706
21738570_EFO_0000384_GCST90446792_EFO_0000384	0.7428046540110226	1.627625673437859	0.6397035471070123	0.10310110690401031
34375979_EFO_0000384_GCST90446792_EFO_0000384	0.7440293937538273	1.6294993138963385	0.4497246439139437	0.2943047498398836
36038634_EFO_0000384_GCST90446792_EFO_0000384	0.835272504592774	1.7930597739523857	0.49968987105091894	0.3355826335418551
34375979_EFO_0000400_GCST90043627_EFO_0000400	0.22963870177587262	0.1460904327134659	0.16969375484673604	0.05994494692913657
