Entrez	PhyloP_mean	PhyloP_median	CDS_Length
93	0.8340721416504223	1.138	1539
94	0.696829652659819	1.122	1386
95	0.659321943311808	1.0583333333333331	1123
97	0.6639695313875322	0.97	243
98	0.4778310280274987	0.7702857142857142	281
100	0.5481005437057764	1.026	1030
101	0.1475680289798032	0.1471666666666666	2302
102	0.8545301770742992	0.90625	690
103	0.6550411868671216	1.026	3016
104	0.6163271418938902	1.0	2197
105	0.3649445655292829	0.6576666666666667	1131
107	0.6920661930216087	1.135	1798
108	0.7204798446275945	1.138	3276
109	0.7481371415855668	1.138	3436
111	0.814191637408711	1.1375	2820
112	0.7800949400974465	1.049	3454
113	0.5426644401155556	1.0244	2647
114	0.8153162389120614	1.138	3559
115	0.6749375366814377	1.026	4062
116	0.6720924350282486	1.022	531
117	0.7665939896866102	1.129	1466
118	0.8140474358210638	1.138	2075
119	0.7496366943021817	1.1364	1940
120	0.8411387517662878	1.138	2057
123	0.5768933764431566	0.986	676
124	0.3972696480496454	0.919	1128
125	0.4116947313689068	0.998	1048
126	0.4159362118794326	1.026	1128
127	0.5074991416929134	1.005	1181
128	0.7872429348070175	1.082	648
130	0.0585406328702642	0.057	1041
131	0.5539885356805431	0.952	1106
132	0.8224566210160302	1.13725	980
133	0.4802872158403231	0.70375	421
134	0.7722872936022523	1.1335	830
135	0.6550851242937853	1.026	1239
136	0.7286265845845846	1.126	999
140	0.5933050514966124	1.026	664
141	0.6191004916201117	1.066	1074
142	0.6579334926758769	1.026	2980
143	0.3263049236714976	0.841	5175
146	0.6146262803955788	1.022	1719
147	0.7875805387076136	1.134	1563
148	0.7260489715088004	1.138	1314
150	0.705457	1.018	1398
151	0.613897	1.022	1353
152	0.5544943844444444	0.8305	1257
153	0.691507	0.945	1434
154	0.71068	1.026	1242
155	0.550097356968215	1.008	1227
156	0.7762551150975041	1.138	1648
157	0.7251979124334786	1.137	2067
158	0.7506471621485948	1.1377	1425
159	0.8758818468271335	1.138	1371
160	0.7183537655178217	1.049	2901
161	0.6476454211823848	1.117	2821
162	0.7922484614267167	1.126	2812
163	0.9205853735705788	1.1421666666666666	2248
164	0.9721562295963316	1.138	2040
165	0.6060012404688968	0.9865	2839
166	0.4780498295140259	0.8409999999999999	605
167	0.2166145760186219	0.183	643
173	0.3355261383333333	0.224	1800
174	0.5053525621003605	0.3245	1849
175	0.5832200614793468	1.026	1041
176	0.4242806552873036	0.3576666666666666	6639
177	0.5590241324820124	1.0034285714285711	987
178	0.7669397611021742	1.138	4589
181	0.5585615012531329	1.026	399
182	0.7745045072463768	1.127	3657
183	0.2359694747251724	0.168	1323
185	0.745219	1.138	1080
186	0.753729	0.981	1092
187	0.757813	1.138	1143
189	0.416934752332485	1.011	1179
190	0.4705241216400272	0.6535	865
191	0.7432231900483752	1.045	1257
196	0.5916431180264268	0.324	2524
197	0.190751437587143	0.245	1105
199	0.7159806462765959	1.113	363
202	0.5078099091619762	0.254	6396
203	0.6895964613467277	1.026	601
204	0.7554147403134018	1.12925	583
205	0.7741333702156009	1.134	633
207	0.7220201625560393	1.03	1439
208	0.7901687198620241	1.13125	1358
210	0.7294995840886203	1.026	993
211	0.7673292693707748	1.122	1923
212	0.7633019719646938	1.049	1714
213	0.3878081118137101	0.4644	1552
214	0.8339884717497408	1.138	1688
215	0.5719217455082075	1.0735	1461
216	0.7004330633555245	1.026	1099
217	0.673656306686122	1.138	1483
218	0.4875111630619216	1.01	1279
219	0.678163	1.127	1554
220	0.5516573342562451	0.8083333333333332	1022
221	0.533322630882235	1.013	1291
222	0.3994939930915369	0.962	1158
223	0.6333068933847141	1.026	1557
224	0.6392985276989277	1.0353846153846151	1160
225	0.8202347665317139	1.138	2223
226	0.7975912633683585	1.12	1118
229	0.7616344473527963	1.026	1078
