Entrez	post_mean	log_post_mean
395	0.185031	0.732755504023618
8480	0.185112	0.732565426925871
4193	0.185154	0.7324669011723954
9423	0.185277	0.7321784899798263
9793	0.185622	0.731370552296149
56271	0.18571	0.731164710003414
55209	0.185771	0.7310220811010787
60682	0.185844	0.730851455601103
148479	0.185931	0.7306481949159289
6228	0.186009	0.7304660420413522
1487	0.186035	0.7304053413900966
196	0.186182	0.730062308738934
246175	0.186276	0.7298430964671307
54729	0.186529	0.729253638059709
6881	0.186661	0.7289464118532086
1028	0.1867	0.7288556820509217
6727	0.186729	0.7287882285858693
1349	0.186844	0.7285208438070094
1280	0.186888	0.7284185835922459
93986	0.186902	0.7283860513000524
7187	0.187071	0.7279935322014123
7114	0.18718	0.7277405570597776
6046	0.187381	0.7272744476717643
1984	0.187521	0.7269500896779808
55916	0.187597	0.7267741110201917
10432	0.187602	0.7267625359764969
54778	0.187713	0.7265056494204211
9261	0.18786	0.7261656819994411
4212	0.187861	0.7261633702070105
89795	0.187942	0.72597615587621
3308	0.188021	0.7257936418278844
2309	0.188102	0.7256065867763296
51072	0.188176	0.7254357673711282
7204	0.188329	0.7250827996315827
2254	0.188475	0.724746248015724
619279	0.188484	0.7247255102148603
23097	0.188587	0.7244882480931453
10766	0.188811	0.7239727076007736
890	0.1894	0.7226200253327454
3720	0.189415	0.7225856316723468
79618	0.189538	0.7223037063510008
1009	0.189551	0.7222739200566639
169966	0.189591	0.722182282731648
3336	0.189653	0.7220402830790873
6235	0.189691	0.7219532739772296
359948	0.189787	0.7217335391248687
9075	0.189883	0.7215139153929372
10209	0.189887	0.7215047668139147
1678	0.190021	0.7211984007306083
23450	0.190022	0.7211961152287998
55122	0.19021	0.7207666544298604
26000	0.190222	0.7207392564518535
11275	0.190255	0.7206639209233525
54812	0.190297	0.7205680582380217
463	0.190384	0.7203695528196615
10368	0.190689	0.719674358747844
10915	0.190717	0.7196105933874924
9129	0.190892	0.7192122718612141
29915	0.190982	0.7190075629567325
23228	0.190982	0.7190075629567325
3326	0.191003	0.7189598114265461
3659	0.191044	0.7188665973778746
54539	0.191045	0.7188643241144103
23361	0.191062	0.7188256804559731
